product_id,location_id,Metric,Value
P001,L01,MAE,12.689882746064349
P001,L01,RMSE,18.32194669359752
P001,L01,MAPE,20.931678959485538
P001,L02,MAE,15.694358225040746
P001,L02,RMSE,22.389505953459263
P001,L02,MAPE,22.426034628040252
P001,L03,MAE,15.772401392876352
P001,L03,RMSE,22.1282406351401
P001,L03,MAPE,21.030929599503313
P001,L04,MAE,14.608088177158898
P001,L04,RMSE,17.80985454532027
P001,L04,MAPE,25.21582603677755
P001,L05,MAE,12.2370195847675
P001,L05,RMSE,14.003085788653369
P001,L05,MAPE,25.288578393414245
P001,L06,MAE,11.624923809272264
P001,L06,RMSE,18.185354355287608
P001,L06,MAPE,15.103874237356694
P001,L07,MAE,20.682775602566064
P001,L07,RMSE,27.132565641280678
P001,L07,MAPE,24.513620476593907
P001,L08,MAE,10.996333232981137
P001,L08,RMSE,13.222451407806437
P001,L08,MAPE,23.018793510501187
P001,L09,MAE,12.669268364993052
P001,L09,RMSE,17.937434540526183
P001,L09,MAPE,19.487449979011707
P001,L10,MAE,13.944507488621884
P001,L10,RMSE,16.938058756518842
P001,L10,MAPE,23.327005854446163
P001,L11,MAE,15.982080934285907
P001,L11,RMSE,20.039446897775683
P001,L11,MAPE,24.141236948652075
P001,L12,MAE,12.370650029379325
P001,L12,RMSE,14.041093530205872
P001,L12,MAPE,22.97274633303846
P001,L13,MAE,13.999143675969313
P001,L13,RMSE,20.3067157595684
P001,L13,MAPE,16.990335620057067
P001,L14,MAE,11.720906319643081
P001,L14,RMSE,12.899183878101637
P001,L14,MAPE,23.01666421123848
P001,L15,MAE,11.711468732144407
P001,L15,RMSE,14.228146210989394
P001,L15,MAPE,20.409634895204896
P001,L16,MAE,8.877550739938336
P001,L16,RMSE,12.492244294502704
P001,L16,MAPE,14.506518687120673
P001,L17,MAE,14.214280171973114
P001,L17,RMSE,20.984050481761557
P001,L17,MAPE,17.358775820050358
P001,L18,MAE,15.332477226236552
P001,L18,RMSE,18.234635194271757
P001,L18,MAPE,24.853548425386567
P001,L19,MAE,14.732780597422693
P001,L19,RMSE,17.299425953579863
P001,L19,MAPE,26.32719498025118
P001,L20,MAE,15.002316113432862
P001,L20,RMSE,21.559142884892506
P001,L20,MAPE,20.284736935622764
P002,L01,MAE,19.19930083049711
