product_id,location_id,current_stock,avg_daily_demand,avg_lead_time_days,safety_stock,reorder_point,reorder_quantity,inventory_status
P001,L01,377,55.709949409780776,12,128,796,1665,Reorder Needed
P001,L02,637,55.91231028667791,12,126,796,1665,Reorder Needed
P001,L03,478,55.66357504215851,12,126,793,1665,Reorder Needed
P001,L04,395,55.87183811129848,12,125,795,1665,Reorder Needed
P001,L05,601,56.231028667790895,12,122,796,1665,Reorder Needed
P001,L06,265,55.772344013490724,12,123,792,1665,Reorder Needed
P001,L07,360,55.29258010118044,12,120,783,1665,Reorder Needed
P001,L08,658,55.770657672849914,12,121,790,1665,Reorder Needed
P001,L09,387,55.05817875210793,12,122,782,1665,Reorder Needed
P001,L10,775,56.029510961214164,12,126,798,1665,Reorder Needed
P001,L11,775,56.30944350758853,12,126,801,1665,Reorder Needed
P001,L12,292,55.09443507588533,12,122,783,1665,Reorder Needed
P001,L13,641,55.16357504215851,12,127,788,1665,Reorder Needed
P001,L14,456,56.413153456998316,12,122,798,1665,Reorder Needed
P001,L15,154,54.6070826306914,12,125,780,1665,Reorder Needed
P001,L16,405,57.029510961214164,12,123,807,1665,Reorder Needed
P001,L17,503,55.05649241146712,12,130,790,1665,Reorder Needed
P001,L18,617,56.36930860033727,12,120,796,1665,Reorder Needed
P001,L19,483,54.84907251264755,12,127,785,1665,Reorder Needed
P001,L20,459,55.3566610455312,12,126,790,1665,Reorder Needed
P002,L01,478,55.823777403035415,12,123,792,1665,Reorder Needed
P002,L02,648,54.989881956155145,12,128,787,1665,Reorder Needed
P002,L03,523,56.91821247892074,12,118,801,1665,Reorder Needed
P002,L04,582,55.54806070826307,12,122,788,1665,Reorder Needed
P002,L05,477,54.74198988195616,12,127,783,1665,Reorder Needed
P002,L06,450,55.97133220910624,12,126,797,1665,Reorder Needed
P002,L07,423,55.14924114671164,12,123,784,1665,Reorder Needed
P002,L08,510,54.55564924114671,12,126,780,1665,Reorder Needed
P002,L09,380,55.490725126475546,12,119,784,1665,Reorder Needed
P002,L10,352,55.02866779089376,12,124,784,1665,Reorder Needed
P002,L11,539,55.1787521079258,12,120,782,1665,Reorder Needed
P002,L12,488,55.564080944350756,12,125,791,1665,Reorder Needed
P002,L13,555,56.69814502529511,12,119,799,1665,Reorder Needed
P002,L14,794,55.5716694772344,12,124,790,1665,Optimal
P002,L15,526,55.47807757166948,12,119,784,1665,Reorder Needed
P002,L16,410,54.46627318718381,12,128,781,1665,Reorder Needed
P002,L17,567,55.60961214165261,12,126,793,1665,Reorder Needed
P002,L18,344,56.07082630691399,12,126,798,1665,Reorder Needed
P002,L19,406,55.79932546374368,12,126,795,1665,Reorder Needed
P002,L20,394,54.899662731871835,12,128,786,1665,Reorder Needed
P003,L01,431,56.36509274873524,12,123,799,1665,Reorder Needed
P003,L02,750,55.9637436762226,12,125,796,1665,Reorder Needed
P003,L03,435,54.69983136593592,12,125,781,1665,Reorder Needed
P003,L04,997,55.40809443507589,12,128,792,1665,Optimal
P003,L05,675,55.61551433389545,12,124,791,1665,Reorder Needed
P003,L06,268,55.27824620573356,12,126,789,1665,Reorder Needed
P003,L07,622,55.39460370994941,12,124,788,1665,Reorder Needed
P003,L08,524,55.05564924114671,12,128,788,1665,Reorder Needed
P003,L09,801,54.82883642495784,12,124,781,1665,Optimal
P003,L10,540,55.90893760539629,12,128,798,1665,Reorder Needed
P003,L11,426,56.32967959527824,12,127,802,1665,Reorder Needed
P003,L12,131,55.453625632377744,12,126,791,1665,Reorder Needed
P003,L13,619,56.15935919055649,12,120,793,1665,Reorder Needed
P003,L14,683,56.0539629005059,12,119,791,1665,Reorder Needed
P003,L15,505,55.22259696458685,12,124,786,1665,Reorder Needed
P003,L16,320,56.24114671163575,12,121,795,1665,Reorder Needed
P003,L17,571,54.913153456998316,12,129,787,1665,Reorder Needed
P003,L18,469,56.713322091062395,12,123,803,1665,Reorder Needed
P003,L19,410,55.21669477234401,12,127,789,1665,Reorder Needed
P003,L20,216,55.57082630691399,12,119,785,1665,Reorder Needed
P004,L01,268,55.786677908937605,12,124,793,1665,Reorder Needed
P004,L02,522,55.0539629005059,12,122,782,1665,Reorder Needed
P004,L03,622,55.844013490725125,12,123,793,1665,Reorder Needed
P004,L04,306,54.99747048903878,12,123,782,1665,Reorder Needed
P004,L05,548,54.45531197301855,12,129,782,1665,Reorder Needed
P004,L06,328,55.71753794266442,12,124,792,1665,Reorder Needed
P004,L07,524,55.491568296795954,12,121,786,1665,Reorder Needed
P004,L08,387,54.53372681281619,12,124,778,1665,Reorder Needed
P004,L09,277,55.8929173693086,12,126,796,1665,Reorder Needed
P004,L10,443,54.78161888701518,12,128,785,1665,Reorder Needed
P004,L11,555,55.751264755480605,12,124,793,1665,Reorder Needed
